taxon_key	taxon_name	common_name	cla_code	ord_code	fam_code	gen_code	spe_code	effective_distance	habitat_diversity_index	estuaries	coral	front	sea_grass	sea_mount	others	slope	shelf	abyssal	inshore	offshore	max_depth	min_depth	lat_north	lat_south	found_in_fao_area_id	fao_limits	sl_max	intertidal	temperature	water_column_position	depth_comments	general_comments
604106	Icelinus tenuis	Spotfin sculpin	6	59	277	5810	4106	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0	373	33	54		"{67,77}"	2	11.642358	f		demersal		FB or SLB Comments: Inhabits sand bottom. Feeds on shrimps (Ref. 4925).
603840	Clevelandia ios	Arrow goby	6	60	405	8775	3840	30.39999991	0.4	0.75	0	0	0	0	0.75	0	0.5	0	0.75	0			55		"{67,77}"	2	5.4336	f		demersal		"FB or SLB Comments: Inhabits sand or mud bottom. Retreats into shrimp burrows when threatened and at low tide (Ref. 6885). Commonly in estuaries, lagoons and tidal sloughs. Reported to occur in freshwater. Adults feeds on diatoms, green algae, tintinnids, eggs and young of their hosts (Ref. 6885). Positions large food particles near crabs to be torn to smaller pieces (Ref. 6885). Preyed upon by <i>Sebastes</i>, staghorn sculpin, whitespot greenling, and terns (Ref. 6885). Unlike other gobies, it does not build a nest or care for its young (Ref. 2850)."
610186	Lepidotrigla dieuzeidei	Spiny gurnard	6	59	266	9693	10186	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0.5	596	60	35	21	"{27,34,37}"	3	16.08	f		demersal		"FB or SLB Comments: Inhabits sandy and muddy bottoms (Ref. 3699). Depth range from 60-250 m (Ref. 04697) and from 288-596 m in the eastern Ionian Sea (Ref. 56504). Feeds on crustaceans, mainly amphipods (Ref. 4697)."
604221	Etropus crossotus	Fringed flounder	6	61	514	10020	4221	30.39999991	0.4	0.75	0	0	0	0	0.75	0	0.5	0	0.75	0.5	65	0	37	-33	"{21,31,41,77,87}"	5	16.4	f		demersal		"FB or SLB Comments: Inhabits sandy and muddy bottoms (Ref. 9330). Common in estuaries (Ref. 9330). Feeds on big, benthic invertebrates and small fishes (Ref. 9330). Utilized fresh (Ref. 9330)."
605016	Rhinobatos rhinobatos	Common guitarfish	4	14	17	1540	5016	56.66071413	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0.5	100		44	-17	"{27,34,37}"	3	147	f		demersal		"FB or SLB Comments: Inhabits sandy and muddy bottoms, from the intertidal zone to about 100 m. Sometimes near rocky reefs (Ref. 12951). Slow swimming over bottom or partially buried. Feeds on benthic invertebrates and fishes. Ovoviviparous, one or two litters per year with 4-10 embryos."
604991	Microchirus ocellatus	Foureyed sole	6	61	441	2425	4991	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0.5	300	30	43	4	"{34,37,51}"	3	17.08	f		demersal		FB or SLB Comments: Inhabits sandy and muddy bottoms.
600984	Caulolatilus cyanops	Blackline tilefish	6	60	308	1615	984	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0	0.5	495	45	35	9	"{21,31,41}"	3	51.35667209	f		demersal		FB or SLB Comments: Inhabits sandy and muddy bottoms. Feeds on invertebrates and small fishes (Ref. 26235). Marketed fresh and is highly appreciated as a food fish.
602548	Rhinobatos lentiginosus	Atlantic guitarfish	4	14	17	1540	2548	99.9999997	0.8	0.75	0.75	0	0.5	0	0.75	0	0.5	0	0.5	0	30	0	36	18	"{21,31}"	2	75	f		reef-associated		"FB or SLB Comments: Inhabits sandy and weedy bottoms, sometimes near patch reefs. Also found along beaches from shoreline to depths of 30 m (Ref. 26938). Usually buried in the sand or mud. Feeds on mollusks and crustaceans. Ovoviviparous, with up to 6 in a litter (Ref. 12951). Size at birth 20 cm (Ref. 12951). Generally uncommon (Ref. 9710)."
602573	Dasyatis dipterura	Diamond stingray	4	65	20	1943	2573	99.9999997	0.8	0.75	0.5	0	0.5	0	0.75	0	0.5	0	0.5	0	355	10			"{67,77,87}"	3	122	f		demersal		"FB or SLB Comments: Inhabits sandy areas, often around rocks and kelp beds (Ref. 2850). Benthic (Ref. 58302). Feeds on crabs and mollusks (Ref. 4925). Ovoviviparous (Ref. 50449)."
609149	Guentherus altivela	Jellynose	6	38	228	10196	9149	0.999999997	0.2	0	0	0	0	0	0.5	0.5	0	0	0	0.5	800	200			"{27,34,47,77,87}"	5	186.2700357	f		bathydemersal		FB or SLB Comments: Inhabits upper continental slopes (Ref. 27121). Benthic (Ref. 51024). Feeds on fishes (Ref. 6717).
